Protein.Names	DMSO_01	DMSO_02	DMSO_03	DMSO_04	DMSO_05	DMSO_06	DMSO_07	DMSO_08	DMSO_09	DMSO_10	DMSO_11	DMSO_12	IHK44_100nM_01	IHK44_100nM_02	IHK44_100nM_03	IHK44_100nM_04	IHK44_100nM_05	IHK44_100nM_06	IHK44_125nM_01	IHK44_125nM_02	IHK44_125nM_03	IHK44_125nM_04	IHK44_125nM_05	IHK44_125nM_06	IHK44_150nM_01	IHK44_150nM_02	IHK44_150nM_03	IHK44_150nM_04	IHK44_150nM_05	IHK44_150nM_06
MIC27_HUMAN	9166.65	9703.05	8855.99	7169.64	6756.74	8201.41	8247.9	10549.7	10407.7	8062.62	7613.44	11527.2	7368.28	8399.71	10266.3	7915.71	9722.72	8649.89	9574.27	10321.5	9681.7	9680.74	7435.47	9818.61	10009.9	10279.3	8461.01	8388.35	9002.15	9457.78
MIC60_HUMAN	64992.5	47117.4	50321	39458.2	33624.8	36856.3	43638.8	61501.1	62220.3	49637	36029.3	67837.9	39578.2	52176.4	57448.2	46130.5	57650.6	42781.6	46530.7	52701.3	47124.7	51300.8	38828.1	46484.9	64434.9	57227.2	55115.6	56231.3	43189.8	58924.9
MICA1_HUMAN	4647.55	3510.87	4921.04	3971.16	3532.26	3497.68	4530.93	4127.05	5180.17	5027.37	3237.82	5992.18	5157.71	4173.79	5249.07	3445.99	4523.62	4940.94	4707.21	4821.59	4620.91	4972.26	4618.51	5064.49	3947.15	3824.4	3305.38	4947.09	3559.45	3539.07
MICA3_HUMAN	20159.1	22294.9	21575.1	21776.9	20639.4	22454.9	20947.7	21732.9	22558.2	21958	20471.3	21177.8	21884.2	20410.5	21932.8	20092.4	22595.5	21733	21603.3	22267.3	23355.7	21940.2	22819.5	20940.7	21819	20453.1	21349.6	20803.2	21851.3	21674.8
MICU1_HUMAN	35726.5	33038.4	31633.9	35188	35830.4	35839.9	34073	31613.7	42327.8	32655.5	38957.3	34480.6	34509.8	39113.6	37537.9	35890.4	33135.3	37271.1	32362.9	38361.9	37084.6	34253.9	42493.4	39466	37026.5	37454.8	33589	43355.5	35931.3	35442.8
MICU2_HUMAN	19341	22696	23886.6	19098.2	21548.9	23208	21166.8	21215.8	22640.9	20030.5	21902.8	23130.6	21611.4	20690.3	25386.8	21736	23521.6	22308.7	20721.7	24098.2	23020	21583.6	23932.9	21338.7	21713.8	19311.6	19937.8	22488.2	23785.4	22872.6
MIDUO_HUMAN	10666.2	13029.9	14263.8	13232.8	9402.9	10679.5	13165.3	9538.24	13242.3	12405.7	11412.2	12808.8	12884.1	12409.7	14187.7	12456.5	11419.4	13742.1	11315.7	10414.1	11272.4	8769.07	12089.6	12700.8	13215.8	14598.8	13210.6	11330.4	10044.7	10453.4
MIER1_HUMAN	42314	48095.1	42461	48822.6	46118.5	46756.3	49249.3	47730.8	50234.9	46887.3	43154.5	46748.5	42854	42331.7	40115.4	42027.3	49226.8	43423.3	44006.4	43883.4	38807	42185.3	38440	39424.2	38173.9	43321.3	41795.7	36086.6	41433.7	40989.4
MIER2_HUMAN	14080.9	14714.9	11948.5	11957.6	11564.1	13540.8	13174.7	14006	12901.8	13441.8	11988.4	12830.6	15334.5	15134.9	14236.3	14292	16090.3	13326	14160.8	13877.9	14678.3	12375.8	13218	14316.9	14869.7	15912.6	12650	13887.5	13966.1	13755.7
MIER3_HUMAN	5381.23	5812.65	6441.91	4777.6	4853.69	7043.18	4993.37	5691.38	5522.69	6356.66	5659.32	6007.55	6766.55	6907.48	6352.71	5965	8047.23	7039.32	6787.46	8561.09	6378.27	7362.31	5618.32	5656.9	6755.95	7805.66	7123.73	6576.32	6817.2	7460.24
